Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2023,Sukarame,Januari,Pencurian motor,rumah,08.00-11.59,2
2023,Kedaton,Januari,Pencurian motor,rumah,08.00-11.59,3
2023,Teluk betung utara,Januari,Pencurian motor,rumah,08.00-11.59,2
2023,Tanjung karang barat,Januari,Pencurian motor,rumah,08.00-11.59,1
2023,Teluk betung selatan,Januari,Pencurian motor,rumah,08.00-11.59,1
2023,Kedaton,Januari,Pencurian motor,rumah,12.00-14.59,3
2023,Sukarame,Januari,Pencurian motor,rumah,12.00-14.59,2
2023,Kedaton,Januari,Pencurian motor,rumah,15.00-17.59,2
2023,Sukarame,Januari,Pencurian motor,rumah,15.00-17.59,1
2023,Kedaton,Januari,Pencurian motor,rumah,18.00-21.59,4
2023,Kedaton,Januari,Pencurian motor,rumah,04.00-04.59,2
2023,Sukarame,Januari,Pencurian motor,rumah,04.00-04.59,1
2023,Kemiling,Januari,Pencurian motor,rumah,04.00-04.59,1
2023,Kedaton,Januari,Pencurian motor,rumah,05.00-07.59,2
2023,Sukarame,Januari,Pencurian motor,rumah,05.00-07.59,1
2023,Tanjung karang barat,Januari,Pencurian motor,rumah,05.00-07.59,1
2023,Tanjung karang timur,Januari,Pencurian motor,rumah,05.00-07.59,1
2023,Tanjung karang timur,Januari,Pencurian motor,perkantoran,08.00-11.59,1
2023,Sukarame,Januari,Pencurian motor,perkantoran,12.00-14.59,1
2023,Tanjung karang timur,Januari,Pencurian motor,tempat parkir,12.00-14.59,1
2023,Kedaton,Januari,Pencurian motor,tempat parkir,12.00-14.59,1
2023,Kedaton,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2023,Teluk betung selatan,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2023,Tanjung karang barat,Januari,Pencurian motor,tempat parkir,18.00-21.59,1
2023,Kedaton,Januari,Pencurian motor,tempat parkir,18.00-21.59,2
2023,Sukarame,Januari,Pencurian motor,perkantoran,04.00-04.59,1
2023,Kedaton,Januari,Pencurian motor,perkantoran,05.00-07.59,1
2023,Sukarame,Februari,Pencurian motor,rumah,12.00-14.59,1
2023,Teluk betung utara,Februari,Pencurian motor,rumah,12.00-14.59,1
2023,Sukarame,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,12.59-14.59,1
2023,Kedaton,Februari,Pencurian motor,tempat parkir,12.59-14.59,1
2023,Teluk betung selatan,Februari,Pencurian motor,perkantoran,08.00-11.59,1
2023,Tanjung karang barat,Februari,Pencurian motor,perkantoran,08.00-11.59,1
2023,Sukarame,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,1
